Epoch 1039
Wins - A: 0, B: 1

  0 | A | Recover    ['0.19', '0.00', '0.07', '0.75'] 100 | 100 | -0.01 | {}
  1 | A | Defend     ['0.11', '0.00', '0.07', '0.83']  95 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
  2 | A | Special    ['0.05', '0.00', '0.06', '0.88']  90 |  70 |  0.01 | {'Poison': 2}
  3 | A | Special    ['0.05', '0.00', '0.11', '0.84']  85 |  40 |  0.01 | {'Poison': 2}
  4 | A | Recover    ['0.11', '0.00', '0.09', '0.80']  80 | 100 |  0.01 | {'Poison': 1}
  5 | A | Recover    ['0.04', '0.00', '0.10', '0.86']  75 | 100 | -0.01 | {}
  6 | A | Recover    ['0.16', '0.00', '0.13', '0.71']  75 | 100 | -0.01 | {}
  7 | A | Attack     ['0.09', '0.00', '0.14', '0.77']  70 | 100 |  0.01 | {'Poison': 2}
  8 | A | Recover    ['0.05', '0.00', '0.09', '0.86']  65 | 100 | -0.01 | {'Poison': 2}
  9 | A | Recover    ['0.19', '0.00', '0.21', '0.60']  60 | 100 | -0.01 | {'Poison': 1}
 10 | A | Recover    ['0.11', '0.00', '0.23', '0.66']  55 | 100 | -0.01 | {'Poison': 2}
 11 | A | Defend     ['0.04', '0.00', '0.24', '0.71']  50 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
 12 | A | Defend     ['0.04', '0.00', '0.31', '0.64']  45 | 100 |  0.01 | {'Poison': 1, 'Defend': 1}
 13 | A | Special    ['0.06', '0.01', '0.54', '0.40']  30 |  70 |  0.01 | {}
 14 | A | Attack     ['0.05', '0.02', '0.43', '0.50']  25 |  80 |  0.01 | {'Poison': 2}
 15 | A | Recover    ['0.20', '0.02', '0.48', '0.31']  20 | 100 |  0.01 | {'Poison': 1}
 15 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 | 100 | -9.96 | {'Poison': 1}
  0 | B | Special    ['0.03', '0.00', '0.77', '0.20'] 100 |  70 |  0.01 | {}
  1 | B | Special    ['0.06', '0.00', '0.74', '0.20'] 100 |  40 |  0.01 | {}
  2 | B | Special    ['0.09', '0.00', '0.67', '0.24']  95 |  10 |  0.01 | {'Poison': 2}
  3 | B | Defend     ['0.29', '0.05', '0.41', '0.25']  90 |  20 |  0.01 | {'Poison': 2, 'Defend': 1}
