Epoch 1089
Wins - A: 15, B: 36

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {'Poison': 1}
  1 | A | Attack     ['0.10', '0.00', '0.08', '0.81']  90 | 100 |  0.01 | {'Poison': 2}
  2 | A | Attack     ['0.24', '0.00', '0.10', '0.67']  85 | 100 |  0.01 | {'Poison': 1}
  3 | A | Attack     ['0.17', '0.00', '0.08', '0.75']  80 | 100 |  0.01 | {'Poison': 2}
  4 | A | Recover    ['0.14', '0.00', '0.04', '0.82']  75 | 100 | -0.01 | {'Poison': 2}
  5 | A | Attack     ['0.28', '0.00', '0.14', '0.58']  70 | 100 |  0.01 | {'Poison': 1}
  6 | A | Recover    ['0.31', '0.00', '0.16', '0.52']  65 | 100 | -0.01 | {}
  7 | A | Recover    ['0.26', '0.00', '0.11', '0.63']  60 | 100 | -0.01 | {'Poison': 2}
  8 | A | Recover    ['0.29', '0.00', '0.27', '0.43']  55 | 100 | -0.01 | {'Poison': 1}
  9 | A | Special    ['0.27', '0.00', '0.35', '0.37']  50 |  70 |  0.01 | {}
 10 | A | Special    ['0.31', '0.02', '0.32', '0.35']  50 |  40 |  0.01 | {}
 11 | A | Recover    ['0.34', '0.04', '0.19', '0.42']  45 | 100 |  0.01 | {'Poison': 2}
 12 | A | Special    ['0.18', '0.01', '0.68', '0.14']  20 |  70 | 10.04 | {'Poison': 1}
  0 | B | Special    ['0.03', '0.00', '0.78', '0.19'] 100 |  70 |  0.01 | {}
  1 | B | Recover    ['0.15', '0.00', '0.62', '0.24']  80 | 100 |  0.01 | {}
  2 | B | Special    ['0.11', '0.00', '0.58', '0.31']  60 |  70 |  0.01 | {}
  3 | B | Special    ['0.37', '0.00', '0.35', '0.28']  40 |  40 |  0.01 | {}
  4 | B | Recover    ['0.66', '0.00', '0.20', '0.14']  40 | 100 |  0.01 | {}
  5 | B | Recover    ['0.27', '0.00', '0.39', '0.34']  20 | 100 | -0.01 | {}
  6 | B | Special    ['0.26', '0.00', '0.40', '0.34']  20 |  70 |  0.01 | {}
  7 | B | Recover    ['0.52', '0.00', '0.24', '0.24']  20 | 100 |  0.01 | {}
  8 | B | Defend     ['0.28', '0.00', '0.39', '0.34']  20 | 100 |  0.01 | {'Defend': 1}
  9 | B | Recover    ['0.13', '0.00', '0.50', '0.36']  15 | 100 | -0.01 | {'Poison': 2}
 10 | B | Special    ['0.07', '0.01', '0.57', '0.35']  10 |  70 |  0.01 | {'Poison': 2}
 11 | B | Attack     ['0.56', '0.00', '0.20', '0.23']   5 |  80 |  0.01 | {'Poison': 1}
 12 | B | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  80 | -9.92 | {'Poison': 3}

Epoch 1090
Wins - A: 15, B: 37

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  1 | A | Recover    ['0.11', '0.00', '0.08', '0.81']  90 | 100 | -0.01 | {'Poison': 2}
